i,t,capcost,fom,vom,heatrate
Nuclear,2010,7686.711275,165.9481454,2.692053726,10.455
Nuclear,2011,7633.565731,165.9481454,2.692053726,10.455
Nuclear,2012,7580.420186,165.9481454,2.692053726,10.455
Nuclear,2013,7527.27464,165.9481454,2.692053726,10.455
Nuclear,2014,7474.129095,165.9481454,2.692053726,10.455
Nuclear,2015,7420.983549,165.9481454,2.692053726,10.455
Nuclear,2016,7367.838005,165.9481454,2.692053726,10.455
Nuclear,2017,7314.692459,165.9481454,2.692053726,10.455
Nuclear,2018,7261.546913,165.9481454,2.692053726,10.455
Nuclear,2019,7208.401368,165.9481454,2.692053726,10.455
Nuclear,2020,7172.069171,165.0426129,2.659247015,10.455
Nuclear,2021,8065.093644,164.2896,2.6676,10.455
Nuclear,2022,5750.0,175.0,2.8,10.497
Nuclear,2023,5750.0,175.0,2.8,10.497
Nuclear,2024,5750.0,175.0,2.8,10.497
Nuclear,2025,5750.0,175.0,2.8,10.497
Nuclear,2026,5750.0,175.0,2.8,10.497
Nuclear,2027,5750.0,175.0,2.8,10.497
Nuclear,2028,5750.0,175.0,2.8,10.497
Nuclear,2029,5750.0,175.0,2.8,10.497
Nuclear,2030,5396.6,130.5728557016034,1.9879395327231424,10.497
Nuclear,2031,5396.6,130.5728557016034,1.9879395327231424,10.497
Nuclear,2032,5385.8,130.5728557016034,1.9879395327231424,10.497
Nuclear,2033,5377.9,130.5728557016034,1.9879395327231424,10.497
Nuclear,2034,5371.7,130.5728557016034,1.9879395327231424,10.497
Nuclear,2035,5366.7,130.5728557016034,1.9879395327231424,10.497
Nuclear,2036,5362.7,130.5728557016034,1.9879395327231424,10.497
Nuclear,2037,5359.4,130.5728557016034,1.9879395327231424,10.497
Nuclear,2038,5356.5,130.5728557016034,1.9879395327231424,10.497
Nuclear,2039,5354.0,130.5728557016034,1.9879395327231424,10.497
Nuclear,2040,5351.7,130.5728557016034,1.9879395327231424,10.497
Nuclear,2041,5349.7,130.5728557016034,1.9879395327231424,10.497
Nuclear,2042,5348.0,130.5728557016034,1.9879395327231424,10.497
Nuclear,2043,5346.4,130.5728557016034,1.9879395327231424,10.497
Nuclear,2044,5345.0,130.5728557016034,1.9879395327231424,10.497
Nuclear,2045,5343.8,130.5728557016034,1.9879395327231424,10.497
Nuclear,2046,5342.0,130.5728557016034,1.9879395327231424,10.497
Nuclear,2047,5340.5,130.5728557016034,1.9879395327231424,10.497
Nuclear,2048,5339.5,130.5728557016034,1.9879395327231424,10.497
Nuclear,2049,5338.5,130.5728557016034,1.9879395327231424,10.497
Nuclear,2050,5337.2,130.5728557016034,1.9879395327231424,10.497
